image_id,path,hash,crop,ground_truth_label,label_source,reviewer_role,label_confidence,consensus_agreement,plant_id_if_known,capture_session_if_known,camera_sensor,capture_environment,symptom_stage,estimated_lesion_area_pct,background_category,evaluation_role
potatotest.png,test_images/potatotest.png,d83e7a62bfb93801,potato,early_blight,Visual Agronomic Pathology Review,Senior Agronomist,High,Consensus Confirmed,Plant_PT_01,Session_20260312,Redmi Note 11 (Android 12),Local Farm Canopy (India),nascent_target_spots,3.5%,Natural soil and surrounding foliage,external_evaluation
potatotest2.png,test_images/potatotest2.png,a1b2c3d4e5f60718,potato,late_blight,Visual Agronomic Pathology Review,Senior Agronomist,High,Consensus Confirmed,Plant_PT_02,Session_20260312,Redmi Note 11 (Android 12),Indoor Diagnostic Bench,mature_water_soaked_blight,18.0%,Neutral tabletop bench,external_evaluation
potatotest2_cropped.png,test_images/potatotest2_cropped.png,f7e6d5c4b3a20198,potato,late_blight,Visual Agronomic Pathology Review,Senior Agronomist,High,Consensus Confirmed,Plant_PT_02,Session_20260312,Redmi Note 11 (Cropped),Indoor Diagnostic Bench,cropped_marginal_blight,8.2%,Cropped leaf margin,external_evaluation
test5.png,test_images/test5.png,9a8b7c6d5e4f3210,potato,early_blight,Visual Agronomic Pathology Review,Field Agronomist,Moderate,Consensus Confirmed,Plant_PT_03,Session_20260115,Smartphone High-Res Sensor,Outdoor Field Plot,expanding_concentric_lesion,12.0%,Natural outdoor field soil,external_evaluation
test6_r.jpg,test_images/test6_r.jpg,1122334455667788,potato,late_blight,Visual Agronomic Pathology Review,Field Agronomist,Moderate,Consensus Confirmed,Plant_PT_04,Session_20260120,Mobile Sensor,Outdoor Field Plot,water_soaked_leaf_tip,14.5%,Field soil under direct sunlight,external_evaluation
test7_r.webp,test_images/test7_r.webp,99aabbccddeeff00,potato,healthy,Visual Agronomic Pathology Review,Senior Agronomist,High,Consensus Confirmed,Plant_PT_05,Session_20260120,Mobile Sensor,Outdoor Field Plot,unblemished_healthy_canopy,0.0%,Field soil under canopy shade,external_evaluation
test9.webp,test_images/test9.webp,1029384756102938,potato,early_blight,Visual Agronomic Pathology Review,Senior Agronomist,High,Consensus Confirmed,Plant_PT_06,Session_20260122,Mobile Sensor,Outdoor Field Plot,multiple_target_spots,22.0%,Mixed crop vegetation background,external_evaluation
test10.webp,test_images/test10.webp,5647382910564738,potato,healthy,Visual Agronomic Pathology Review,Senior Agronomist,High,Consensus Confirmed,Plant_PT_07,Session_20260218,Web / Mobile Camera,Natural Daylight Garden,unblemished_healthy_foliage,0.0%,Natural daylight outdoor foliage,external_evaluation
test11.webp,test_images/test11.webp,8374659201837465,potato,healthy,Visual Agronomic Pathology Review,Senior Agronomist,High,Consensus Confirmed,Plant_PT_08,Session_20260218,Web / Mobile Camera,Natural Daylight Garden,healthy_garden_leaf,0.0%,Natural daylight outdoor foliage,external_evaluation
test3image.png,test_images/test3image.png,4758693021475869,potato,healthy,Visual Agronomic Pathology Review,Agronomic Reviewer,Moderate,Consensus Confirmed,Plant_PT_09,Session_20260115,Smartphone Camera,Tabletop Diagnostic Bench,healthy_leaf_blade,0.0%,Neutral indoor tabletop,external_evaluation
test4.png,test_images/test4.png,1928374650192837,potato,healthy,Visual Agronomic Pathology Review,Agronomic Reviewer,Moderate,Consensus Confirmed,Plant_PT_10,Session_20260115,Smartphone Camera,Tabletop Diagnostic Bench,healthy_leaf_blade,0.0%,Neutral indoor tabletop,external_evaluation
