image_id,crop,original_label,reviewed_label,label_status,reviewer_1,reviewer_2,expert_adjudication,label_confidence,symptoms_observed,source,plant_id,capture_session,location_if_known,camera_if_known
field_01,tomato,early_blight,early_blight,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Chlorotic yellowing with concentric brown target spot lesions on leaf blade,field_test_images,Plant_TM_01,Session_20260210,Commercial Field Plot,Smartphone High-Res
field_02,tomato,early_blight,early_blight,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Multiple circular target spot lesions with dark brown concentric rings,field_test_images,Plant_TM_02,Session_20260210,Commercial Field Plot,Smartphone High-Res
field_03,tomato,late_blight,late_blight,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Large water-soaked dark irregular necrotic lesions with pale margin,field_test_images,Plant_TM_03,Session_20260212,Open Field Plot,Mobile Camera
field_04,tomato,early_blight,early_blight,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Expanding target spot lesion surrounded by prominent chlorotic yellow halo,field_test_images,Plant_TM_04,Session_20260212,Open Field Plot,Mobile Camera
field_05,tomato,late_blight,late_blight,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Diffuse border water-soaked necrosis with petiole tissue collapse,field_test_images,Plant_TM_05,Session_20260214,Irrigated Farm,DSLR Sensor
field_06,tomato,late_blight,late_blight,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Extensive dark brown necrotic rot covering lower half of leaflet blade,field_test_images,Plant_TM_06,Session_20260214,Diagnostic Station,Mobile Camera
field_07,tomato,healthy,healthy,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Uniform green leaf blade with prominent venation and zero necrotic spots,field_test_images,Plant_TM_07,Session_20260218,Natural Field Canopy,Smartphone High-Res
field_08,tomato,healthy,healthy,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Unblemished young seedling foliage growing directly in fertile dark soil,field_test_images,Plant_TM_08,Session_20260218,Seedling Nursery,Smartphone High-Res
field_09,tomato,healthy,healthy,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Healthy terminal leaflet with natural sunlight specular glares on cuticle,field_test_images,Plant_TM_09,Session_20260220,Mulched Field,Mobile Camera
field_10,tomato,healthy,healthy,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Compound foliage on stark white backing; cuticle completely unblemished,field_test_images,Plant_TM_10,Session_20260220,Studio Staging Bench,Mobile Camera
field_11,tomato,healthy,healthy,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Horizontal panorama cluster of healthy leaflets on white paper backing,field_test_images,Plant_TM_11,Session_20260222,Studio Staging Bench,Mobile Camera
field_12,tomato,healthy,healthy,verified,Senior Plant Pathologist,Field Agronomist,Consensus Confirmed,High,Isolated single healthy leaflet on stark white diagnostic paper backing,field_test_images,Plant_TM_12,Session_20260222,Studio Staging Bench,Mobile Camera
